"id","vid","relation","official"
v208,v11749,seq,true
v210,v4876,fan,true
v210,v18498,set,true
v211,v20273,side,true
v212,v6492,side,true
v213,v178,preq,true
v213,v214,seq,true
v214,v213,preq,true
v216,v104,preq,true
v216,v1275,seq,true
v216,v50807,set,false
v217,v218,preq,true
v218,v217,seq,true
v219,v220,seq,true
v219,v7532,ser,true
v219,v12194,ser,true
v219,v46079,set,false
v220,v219,preq,true
v221,v306,set,true
v221,v309,char,true
v221,v491,side,true
v221,v1306,ser,true
v226,v7669,alt,true
v228,v2195,set,true
v228,v2196,set,true
v228,v2913,seq,true
v231,v234,seq,true
v232,v1398,fan,true
v232,v5937,char,true
v234,v231,preq,true
v235,v184,ser,true
v235,v446,char,true
v235,v6113,char,true
v235,v6152,fan,true
v235,v25243,char,false
v235,v27618,set,false
v236,v20,set,true
v236,v7771,ser,true
v236,v14024,char,false
v236,v27089,side,false
v237,v446,char,true
v238,v7533,fan,true
v238,v7719,ser,true
v239,v39,par,true
v240,v242,char,true
v240,v243,set,true
v240,v2703,fan,true
v240,v3666,side,true
v240,v5548,side,true
v240,v50076,alt,true
v241,v9149,char,true
v242,v240,char,true
v242,v243,char,true
v242,v1521,char,true
v242,v1777,char,true
v242,v3703,fan,true
v242,v7476,fan,true
v243,v240,set,true
v243,v242,char,true
v244,v245,set,true
v244,v2010,ser,true
v245,v244,set,true
v245,v2010,ser,true
v247,v13,ser,true
v248,v17,ser,true
v248,v1152,set,true
v248,v1966,char,true
v248,v26011,char,true
v248,v32005,alt,false
v250,v1853,side,true
v252,v421,char,true
v252,v3208,char,true
v252,v3755,set,true
v253,v304,set,true
v253,v2904,set,true
v254,v1037,ser,true
v254,v3232,fan,true
v254,v17245,fan,true
v254,v28917,fan,true
v256,v257,fan,true
v256,v1389,fan,true
v256,v1881,ser,true
v256,v3185,set,true
v256,v4029,fan,true
v256,v7981,fan,true
v256,v10867,ser,true
v257,v256,orig,true
v258,v1082,char,true
v258,v1420,alt,true
v258,v2146,char,true
v263,v25,orig,true
v264,v266,seq,true
v264,v272,side,true
v264,v273,side,true
v264,v276,fan,true
v264,v320,char,true
v264,v332,side,true
v264,v407,side,true
v264,v408,side,true
v264,v947,side,true
v264,v1708,alt,true
v264,v3537,alt,true
v264,v4848,char,true
v264,v5282,alt,true
v264,v5409,side,true
v264,v12510,alt,true
v264,v17742,set,true
v264,v19748,fan,true
v264,v38040,char,false
v264,v44104,char,false
v265,v4061,fan,true
v266,v264,preq,true
v266,v276,fan,true
v266,v384,side,true
v266,v407,side,true
v266,v947,side,true
v266,v969,char,true
v266,v1910,side,true
v266,v2932,side,true
v266,v4848,char,true
v266,v5282,char,true
v266,v5409,side,true
v266,v6438,seq,true
v266,v9836,side,true
v266,v9837,side,true
v266,v16261,seq,true
v266,v25293,fan,true
v266,v25294,fan,true
v266,v44104,char,false
v269,v270,seq,true
v269,v4805,side,true
v270,v269,preq,true
v270,v713,seq,true
v272,v264,par,true
v273,v264,par,true
v273,v313,char,true
v273,v44104,char,false
v273,v53434,orig,true
v274,v7358,preq,true
v275,v205,orig,true
v276,v78,char,true
v276,v99,char,true
v276,v264,orig,true
v276,v266,orig,true
v276,v323,char,true
v276,v380,char,true
v276,v406,char,true
v278,v580,seq,true
v278,v1274,preq,true
v279,v285,preq,true
v284,v311,ser,true
v284,v1111,char,true
v284,v3100,seq,true
v284,v3105,char,true
v284,v21142,ser,true
v285,v279,seq,true
v285,v2839,ser,true
v289,v290,side,true
v290,v289,par,true
v291,v3835,char,true
v292,v293,fan,true
