"vid","votecount","votecount_rank"
v4936,382,870
v9198,381,872
v12273,381,872
v13943,381,872
v20196,380,875
v139,378,876
v12882,377,877
v6700,376,878
v4134,375,879
v26594,375,879
v295,375,879
v1195,374,882
v3921,374,882
v21436,373,884
v25385,373,884
v2968,371,886
v35407,371,886
v26415,371,886
v26376,370,889
v25838,370,889
v102,370,889
v32787,370,889
v17131,369,893
v22880,369,893
v861,369,893
v31157,368,896
v16842,368,896
v20016,367,898
v13015,367,898
v24853,367,898
v3746,367,898
v1708,366,902
v1390,366,902
v48724,366,902
v21321,366,902
v3128,365,906
v23388,365,906
v235,364,908
v12158,364,908
v38511,364,908
v21267,363,911
v12072,363,911
v5844,361,913
v22636,361,913
v29057,361,913
v8434,361,913
v15641,360,917
v7773,360,917
v18842,359,919
v39,359,919
v19345,358,921
v21426,358,921
v15166,358,921
v2477,358,921
v2836,357,925
v21269,357,925
v858,357,925
v24938,356,928
v26356,356,928
v22503,356,928
v12480,356,928
v4408,355,932
v19773,353,933
v38429,353,933
v1305,352,935
v25280,350,936
v26238,350,936
v15293,349,938
v20471,349,938
v17147,349,938
v24417,348,941
v1494,348,941
v22445,346,943
v42912,346,943
v13249,346,943
v20524,346,943
v29444,345,947
v16377,345,947
v1001,344,949
v17959,344,949
v30647,343,951
v7689,342,952
v1967,342,952
v4767,340,954
v5936,340,954
v18154,340,954
v45510,340,954
v12283,340,954
v12972,340,954
v24883,340,954
v18453,339,961
v18728,339,961
v33175,339,961
v3079,338,964
v151,338,964
v19765,338,964
v6472,337,967
v126,336,968
v12854,336,968
v10249,335,970
v10362,335,970
v776,335,970
v12476,334,973
v38068,333,974
v22299,333,974
v91,333,974
v16511,333,974
v31091,333,974
v44101,332,979
v15070,332,979
v110,332,979
v7506,330,982
v17344,330,982
v26444,330,982
v22658,330,982
v51915,329,986
v22739,329,986
v31813,329,986
v17655,329,986
v6475,329,986
v23157,328,991
v9428,328,991
v7943,327,993
v182,327,993
v38037,326,995
v12600,326,995
v16471,326,995
v888,325,998
v21301,325,998
v3269,325,998
v24872,324,1001
v18495,324,1001
v1388,323,1003
v13999,323,1003
v18460,323,1003
v7536,323,1003
v738,322,1007
v23863,322,1007
v8311,322,1007
v14878,322,1007
v18705,322,1007
v952,322,1007
v5895,321,1013
v30228,321,1013
v22648,321,1013
v604,320,1016
v1452,320,1016
v21690,320,1016
v4962,319,1019
v19570,319,1019
v16262,319,1019
v12392,318,1022
v32788,318,1022
v3388,317,1024
v19347,317,1024
v14706,317,1024
v24702,317,1024
v16549,316,1028
v1189,314,1029
v21174,314,1029
v22439,313,1031
v3433,313,1031
v31212,312,1033
v6915,312,1033
v13260,311,1035
v17588,311,1035
v3789,310,1037
v31217,310,1037
v21745,309,1039
v18712,309,1039
v11086,308,1041
v4234,308,1041
v1012,308,1041
v109,308,1041
v12942,308,1041
v121,307,1046
v3660,307,1046
v11687,307,1046
v18568,307,1046
v3971,306,1050
v15372,306,1050
v30649,306,1050
v24935,306,1050
